"All", "All"
"Van Hoc","Literature"
"Kinh Te","Economy"
"Tam Ly Ky Nang", "Pyschology - Life Skills"
"Nuoi Day Con", "Childhood Education"
"Xem Them", "More"
"You can't use coupon for order that has buffet combo.","You can't use coupon for order that has buffet combo."
"A product in Buffet Combo has run out of stock.(""%s"")","A product in Buffet Combo has run out of stock.(""%s"")"
"There are no more Buffet Combos.","There are no more Buffet Combos. Please check your cart."
"We run out of Buffet Combos.","Announcement: Promotion event is over."
"don_hang", "Orders "
"Coupon has been expired.", "Coupon has been expired !"
