"Invoice number","インボイス番号"
"Delivery unit","配送会社"
"Sale unit","入手先"
"Order Code","注文番号"
"Delivery method","お届け方法"
"Delivery (Fast/Normal)","宅配（速達／通常）"
"Full name","氏名"
"Telephone","電話番号"
"Payment Information","お支払い情報"
"Information recipient","受取人情報"
"eComerce Department","電子取引部門"
"Payment Method","お支払い方法"
"Information Outputting Invoice","インボイス発行情報"
"Signature customers","お客様の署名"
"Signature delivery","配送者の署名"
"VAT Company","企業名"
"Total","合計"
"Discount","割引"
"Shipping Fee/Wrapping Fee","配送／ギフト包装の料金"
"Cash On Delivery Fee","代金引換手数料"
"Grand Total","合計（税込）"
"Attention: Postman, please contact customer prior the delivery","（不要） không cần dịch"
"E-Commerce Department","電子取引部門"
"Date Shipped","出荷日"
"Invoice","インボイス"
"Order Details","ご注文の詳細"
"Products","商品"
"Price","価格"
"Customer Notes","お客様のメモ"
"Coupon","クーポン"
"Cart Totals","カートの合計"
