"Catalog Advanced Search","エキスパート検索"
"Search Settings","検索設定"
"Search","検索"
"Search entire store here...","検索したい商品をここに入力してください…"
"Search results for '%s'","%sの検索結果"
"Search results for: '%s'","%sの検索結果"
"<strong>%d item(s)</strong> were found using the following search criteria","検索条件を満たす商品は"<strong>%d個(s)</strong>があります。"
"Don't see what you're looking for?","欲しい商品が見つかりませんか？"
"Modify your search","検索条件を変更する"
"Relevance","関連商品"
"Results","検索結果"
"There are no products matching the selection.","該当する商品が見つかりません"
"Clear All","全てクリア"
"Shop By","詳細検索"
