"%s was added to your shopping cart.","%sがカートに追加されました。"
"%s was updated in your shopping cart.","%sがカートに更新されました。"
"* Required Fields","＊必須項目"
"Add New Address","新しい住所を追加する"
"Add New Condition","新しい条件を追加する"
"Add coupon code for shopping cart","カートにクーポンコードを追加する"
"Add gift messages to shopping cart","カートにギフトメッセージを追加する"
"Add product to shopping cart","商品をカートに入れる"
"Add product(s) to shopping cart","商品をカートに入れる"
"Add to Cart","カートに追加"
"Login by Facebook account","Facebookアカウントでログインする"
"You're not login to Facebook. <br>Click the button below to login","現在Facebookにログインしていません。ログインするには下のボタンをクリックしてください"
"Go to list Compare","比較リストへ行く"
"Pre-Order","事前注文"
"Add to Compare","比較リストに追加する"
"Add to Wishlist","ウィッシュリストに追加する"
"Additional Product Info","追加商品情報"
"Address","住所"
"Already registered?","すでに登録をしている方は、"
"An error occurred in the process of payment","お支払い手続き中にエラーが発生しました。"
"An error occurred while deleting this condition.","この条件の削除中にエラーが発生しました。"
"An error occurred while saving this condition.","この条件の保存中にエラーが発生しました。"
"Apply Coupon","クーポンを適用する"
"Are you sure you would like to remove this item from the shopping cart?","カートからこの商品を外しますか？"
"Back","戻る"
"Back to Billing Information","お支払情報に戻る"
"Back to Select Addresses","住所の選択に戻る"
"Back to Shipping Information","出荷情報に戻る"
"Back to Shopping Cart","カートに戻る"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ商品"
"Billing Address","請求先住所"
"Billing Information","お支払情報"
"Billing Information - %s","＜＜＜＜＜＜＞＞＞＞＞＞＞"
"Cancel Coupon","クーポンをキャンセルする"
"Cannot add item to the shopping cart.","カートに商品を追加できません"
"Cannot add the item to shopping cart","カートに商品を追加できません"
"Cannot add the item to shopping cart.","カートに商品を追加できません"
"Cannot apply the coupon code.","クーポンコードを適用できません"
"Cannot configure product.","商品を変更できません"
"Cannot open the overview page","オーバービューページを開けません"
"Cannot process the item.","商品を処理できません"
"Cart Subtotal:","小計"
"Change","変更"
"Checkout Method","お支払方法を選んでください"
"Checkout as Guest","登録せずにお会計する"
"Checkout as a Guest or Register","ゲストとしてお会計する、もしくは登録する"
"City","区"
"Clear Shopping Cart","カートを空にする"
"Click <a style=""color: #c00"" href=""%s"">here</a> to continue shopping.","買い物を続けるには、%sをクリックしてください"
"Your credit card should be authorized by your credit card issuer to make an online payment by activating 3-D Security Code. Please contact your credit card company to verify this.","あなたのクレジットカードは、オンライン支払いを行うために、3-Dセキュリティーコードを有効にしてクレジットカード発行者の許可を得なければなりません。クレジットカード会社に連絡してください。"
"The effective time for OTP code (One Time Password) is very short, usually 5 minutes. If waited for too long to input this OTP code, it will cause the payment to fail.","OTPコード（ワンタイムパスワード）の有効時間はとても短く、通常は５分ほどです。OTPコードの入力に時間をかけすぎると、無効になります。"
"When input expiration date for your credit card, the format need to be MM/YY. For example, if the expiration date is 05/2016, then input 05/16.","クレジットカードの有効期限フォーマットはMM/YYなので、もし有効期限が2016年5月であれば、05/16を入力してください。"
"Most common reasons for a payment fail","お支払い失敗のよくある原因"
"Please call us at:","お問い合わせ電話番号"
"Please email us at:","お問い合わせメール"
"We apologize for your unsuccessful payment. We are trying to resolve this issue as fast as possible. Here is order id: '%s' in case you want to contact us.","大変申し訳ございませんが、お支払い手続きに失敗しました。現在この問題を処理中です。お問い合わせしたい場合は、こちらがあなたの注文番号です。%s"
"Company","会社"
"Condition Name","条件の名前"
"Continue Shopping","買い物を続ける　"
"Go to shopping cart","カートへ進む"
"My Cart ","カート"
"item","商品"
"items","商品"
"Country","国"
"The current value of ""%s"" code is 0 VND","この%sコードの価格は０VNDです。"
"Coupon code ""%s"" is not valid.","クーポンコード%sは無効です。"
"Coupon code ""%s"" is used.","クーポンコード%sが利用されました。"
"Coupon code ""%s"" was applied.","クーポンコード%sが適用されました。"
"Coupon code ""%s"" has Expired.","クーポンコード%sの満期が過ぎました。"
"Coupon code ""%s"" exist but do not apply the conditions. Please see <a target=""_blank"" href=""http://www.fahasa.com/dieu-kien-dung-ma-giam-gia"">http://www.fahasa.com/dieu-kien-dung-ma-giam-gia</a>","クーポンコード%sが条件に適用しません。<a target=""_blank"" href=""http://www.fahasa.com/dieu-kien-dung-ma-giam-gia"">http://www.fahasa.com/dieu-kien-dung-ma-giam-gia</a>を参考してください。"
"Coupon code was canceled.","クーポンコードの適用がキャンセルされました。"
"Disabled","無効"
"Discount Codes","割引コード"
"Easy access to your order history and status","注文履歴と状況を簡単に確認できます"
"Edit Your Cart","カートを変更する"
"Edit item","商品を変更する"
"Email Address","メールアドレス"
"Enabled","有効"
"Enter your coupon code if you have one.","クーポンを持っている場合は、入力してください"
"Enter your coupon code:","クーポンコードを入力してください"
"Enter your destination to get a shipping estimate.","配送料金を見積もるため、住所を入力してください"
"Estimate Shipping and Tax","配送料金と税金を見積もる"
"Fast and easy check out","早く簡単にお会計"
"Forgot an Item?","商品を忘れましたか？"
"Forgot your password?","パスワードを忘れましたか？"
