"Enter search your key","キーワードを入力する"
"Back to Main Product Info","メインの商品に戻る"
"Please select one of the options.","オプションを選択してください。"
"This is a required field.","これは必須項目です。"
"Please select an option.","オプションを選択してください。"
"Please make sure your passwords match.","パスワードが一致していません。もう一度確認してください。"
"Please specify at least one search term.","検索ワードを少なくとも1つ記入してください。"
"Please enter a valid email address. For example johndoe@domain.com.","有効なメールアドレスを入力してください。例：yourname@domain.com"
"LOGIN HERE","こちらからログイン"
"Create an account for later use","あとで買い物するため、アカウントを作成する"
"Related Products","関連商品"
"HOT Products","ヒット商品"
"UpSell Products","おすすめ商品"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.　","注文確認書を印刷するには<a href=""%s"" onclick=""this.target='_blank'"">こちらをクリックしてください</a>"
