"Account Dashboard","アカウントダッシュボード"
"Account Information","アカウント情報"
"Account confirmation is required. Please, check your email (%s) for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","アカウントの確認が必要です。メール%sを確認し、確認リンクをチェックしてください。メールが見つからない場合は、迷惑メールをチェックしてください。もう一度受信したい場合は、<a href=""%s"">こちら</a>をクリックしてください"
"Add New Address","新しい住所を追加する"
"Additional Address Entries","追加の住所を入力"
"Address Book","アドレス帳"
"Addresses","住所"
"Approved","承認済み"
"Back","戻る"
"Back to Login","ログインに戻る"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成すると、商品の素早い購入、複数の配送先住所の保存、注文状況の確認などができます。"
"Change Billing Address","請求先住所を変更する"
"Change Password","パスワードを変更する"
"Change Shipping Address","配送先住所を変更する"
"Confirm New Password","再入力してください"
"Confirm Password","パスワードを確認する"
"Confirmed","確認済み"
"Default Addresses","既定の住所"
"Default Billing Address","既定の請求先住所"
"Default Shipping Address","既定の配送先住所"
"Edit","編集"
"Edit Address","住所を変更する"
"First Name","名前"
"Forgot Your Password","パスワードを忘れた"
"Forgot Your Password?","パスワードを忘れましたか"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","このダッシュボードからは、お客様の最近のアクティビティを見ることができます。下のリンクを選択して情報を変更することもできます。"
"Gender","性別"
"General Subscription","一般的なニュース"
"If there is an account associated with %s you will receive an email with a link to reset your password.","もし%sに関連するアカウントを持っていれば、パスワード変更するためのメールが届きます"
"If you have an account with us, please log in.","アカウントをお持ちの方は、ログインしてください。"
"Invalid login or password.","ログイン情報が間違っています"
"Last Activity","最近のアクティビティ"
"Last Name","苗字"
"Last URL","最後のURL"
"Log In","ログイン　"
"Log Out","ログアウト"
"Login","ログイン"
"Login Information","ログイン情報　"
"Login or Create an Account","ログイン、もしくは新しいアカウントを作る"
"Manage Addresses","住所管理"
"Maximum length must be less then %s symbols","%s文字以内"
"My Account","マイアカウント　"
"My Dashboard","ダッシュボード"
"My Orders","自分の注文"
"New Customer Group","新しいカスタマーグループ"
"New Customer Groups","新しいカスタマーグループ"
"New Customers","新しいカスタマー"
"New Group","新しいグループ"
"New Password","新しいパスワード"
"Newsletter Finish","メールマガジン終了"
"Newsletter Information","メ-ルマガジン情報"
"Newsletter Received","メールマガジン受信"
"Newsletter Start","メールマガジン開始"
"Newsletter Subscription","メールマガジンを登録する"
"Newsletters","メールマガジンを受信する"
"No Items Found","商品が見つかりません"
"No Newsletter Found","メールマガジンはありません"
"Not Sent","送っていません"
"Password","パスワード　"
"Password Management","パスワード管理"
"Paused","中断されました"
"Pending","処理中"
"Personal Information","個人情報"
"Please enter your email address below. You will receive a link to reset your password.","メールアドレスを入力してください。パスワード変更のためのメールが届きます"
"Please enter your email below and we will send you confirmation link for it.","メールアドレスを入力してください。アカウント確認のためのメールが届きます。"
"Please, check your email for confirmation key.","アカウントを確認するため、メールをチェックしてください"
"Product","商品　"
"Product ID","商品番号"
"Product Name","商品の名前"
"Product Reviews","商品のレビュー"
"Purchase On","購入時間"
"Purchased At","購入時間"
"Recent Orders","最近のご注文"
"Reset a Password","パスワードをリセットする"
"Retrieve your confirmation link here","アカウント確認のリンクはこちら"
"Retrieve your password here","パスワードを忘れた"
"SKU","最小在庫管理単位"
"Save","保存"
"Save Address","住所を保存する"
"Sign Up for Newsletter","メールマガジンを登録する"
"Status","状況"
"Street Address","住所"
"Subscribe to Newsletter","メールマガジンを登録する"
"Subscribed to Newsletter?","メールマガジンを登録しましたか？"
"Tax/VAT number","税金コード"
"Telephone","電話番号"
"Thank you for registering with %s.","%sにご登録いただき、ありがとうございます"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","このメールアドレスはすでに登録されています。もし、こちらがお客様のメールアドレスであれば、<a href=""%s"">こちら</a>をクリックして、パスワードを取得して、アカウントにアクセスしてください。"
"This account is not confirmed.","このアカウントはまだ確認されていません。確認するために、メールをチェックしてください。受信トレイに確認メールがない場合は迷惑メールをチェックしてください。もう一度受信したい場合は<a href=""%s"">こちら</a> をクリックしてください。"
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","このアカウントはまだ確認されていません。確認するために、メールをチェックしてください。受信トレイに確認メールがない場合は迷惑メールをチェックしてください。もう一度受信したい場合は<a href=""%s"">こちら</a> をクリックしてください。"
"Unsubscribe from Newsletter","メールマガジンの登録を解除する"
"Use as my default billing address","既定の請求先住所にする"
"Use as my default shipping address","既定の配送先住所にする"
"Wishlist","ウィッシュリスト"
"Wishlist - %d item(s)","ウィッシュリスト　−　%s個"
"You are currently not subscribed to any newsletter.","まだメールマガジンを登録していません"
"You are currently not subscribed to our newsletter.","まだメールマガジンを登録していません"
"You are currently subscribed to 'General Subscription'.","現在メールマガジンを登録しています。"
"You are currently subscribed to our newsletter.","現在メールマガジンを登録しています。"
"You are now logged out","ログアウトしました"
"You have logged out and will be redirected to our homepage in 5 seconds.","ログアウトしました。５秒後に自動的にホームページに戻ります"
"You have no additional address entries in your address book.","アドレスブックに他の住所はありません"
"You have not set a default billing address.","既定の請求先住所をまだ設定していません"
"You have not set a default shipping address.","既定の配送先住所をまだ設定ていません"
"You have placed no orders yet.","まだ注文していません"
"Your password has been updated.","パスワードが更新されました"
"Your password reset link has expired.","パスワード変更のためのリンクは期限切れです。"
"n/a","なし"
"or","もしくは"
"My Product Reviews","自分の商品レビュー"
"Cancel fail on order %s. Please call us at 1900636467.","注文%sのキャンセルに失敗しました。1900636467に連絡してください。"
"Order %s has been successfully cancelled.","注文%sがキャンセルされました。"
"Balance","残高"
"Tryout","トライアウト"
"VIP Id","VIPコード"
"Tryout History","トライアウト利用履歴"
"Action","動き"
"Action Time","動きの時間"
"Order Id","ご注文番号"
"Amount Before","以前の残高"
"Amount","金額"
"Left Over","残高"
"cancel order","注文をキャンセルする"
"pay order","会計する"
"Company VIP Id","企業VIPコード"
"Please enter a valid day (1-%d).","有効な日を入力してください（1－%d）"
"Please enter a valid month (1-12).","有効な月を入力してください（1－12）"
"Please enter a valid year (1900-%d).","有効な年を入力してください（1900－%d）"
"Hello, %s!","こんにちは、%s様",
"Date of Birth","生年月日"
"Male","男性"
"Female","女性"
"Order #%s","注文#%s"
"The account information has been saved.","アカウントの情報を更新しました。"
"Delete Address","住所を削除する"
