"Add","追加する"
"Add gift message for shopping cart","カートにギフトメッセージを追加する"
"Add gift options","ギフトを追加する"
"Add gift options for the Entire Order","全ての注文にギフトを追加する"
"Add gift options.","ギフトを追加する"
"An error occurred while saving the gift message.","ギフトメッセージの保存中にエラーが発生しました。"
"Are you sure?","こちらでよろしいですか？"
"Cancel","キャンセル"
"Do you have any gift items in your order?","お客様の注文の中にギフトの商品がありますか。"
"Edit","変更"
"Gift Options","ギフト設定"
"Gift Options for the Entire Order.","全ての商品をギフトにする"
"Gift Options for this address.","この住所にギフトを送る"
"Message","ギフトメッセージ"
"Save Gift Message","ギフトメッセージを保存する"
"The gift message has been removed","ギフトメッセージが削除されました"
"The gift message has been saved","ギフトメッセージが保存されました"
"You can leave this box blank if you do not wish to add a gift message for whole order.","ギフトメッセージが必要ない場合は、空のままにしてください。"
