"All", "Tất Cả"
"All Status", "Tất Cả Trạng Thái"
"Don't have order in ""%s"" status.", "Không có đơn hàng nào ở trạng thái ""%s""."
"You have placed no orders.", "Bạn chưa có đơn hàng nào."
"Van Hoc","Văn Học"
"Kinh Te","Kinh Tế"
"Tam Ly Ky Nang", "Tâm Lý Kỹ Năng"
"Nuoi Day Con", "Nuôi Dạy Con"
"Xem Them", "Xem Thêm"
"A product in Buffet Combo has run out of stock.(""%s"")","Số lượng sản phẩm Buffet Combo đã hết. (""%s"")"
"There are no more Buffet Combos.","Số lượng Buffet Combo đã hết. Xin vui lòng xem lại giỏ hàng."
"We run out of Buffet Combos.","Thông Báo: Đã Hết Số Lượng Combo Được Đặt Trong Chương Trình. Vui Lòng Đặt Mua Từng Sản Phẩm Lẻ."
"don_hang", "đơn hàng"
"Coupon has been expired.", "Mã Coupon đã hết hiệu lực"
