"Catalog Advanced Search","Tìm kiếm nâng cao"
"Search Settings","Cài đặt tìm kiếm"
"Search","Tìm kiếm"
"Search entire store here...","Tìm kiếm sản phẩm mong muốn..."
"Search results for '%s'","Kết quả tìm kiếm với: %s"
"Search results for: '%s'","Kết quả tìm kiếm với: %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> đã được tìm thấy với tiêu chí tìm kiếm sau."
"Don't see what you're looking for?","Không thấy những gì bạn đang tìm kiếm?"
"Modify your search","Chỉnh sửa thông tin tìm kiếm"
"Relevance","Vui lòng chọn"
"Results","Kết quả tìm kiếm"
"There are no products matching the selection.","Không có sản phẩm phù hợp với từ khóa tìm kiếm của bạn."
"Clear All","Xóa tất cả"
"Shop By","Mua theo"
"You currently filter only in-stock products. Click below to display all.","Bạn đang lọc những sản phẩm 'Còn Hàng'. Bấm nút dưới để hiển thị 'Tất Cả' sản phẩm."
"Display all products","Hiển Thị Tất Cả Sản Shẩm"
"Continue searching. Please wait!","Tiếp tục tìm kiếm. Vui lòng đợi!"
"Search history","Lịch sử tìm kiếm"
"Keyword hot","Từ khóa hot"
"Clear","Xóa"
