"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s was updated in your shopping cart.","%s đã được cập nhật vào giỏ hàng của bạn."
"* Required Fields","(*): bắt buộc"
"Add New Address","Tạo mới Địa chỉ"
"Add New Condition","Tạo mới Điều kiện"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Thêm vào giỏ hàng"
"Login by Facebook account","Đăng nhập bằng Facebook"
"You're not login to Facebook. <br>Click the button below to login","<br>Nhấn vào nút Facebook phía dưới để đăng nhập"
"Go to list Compare","Xem So Sánh"
"Pre-Order","Đặt Trước"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Additional Product Info","Additional Product Info"
"Address","Địa chỉ"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Bạn đã là thành viên?"
"An error occurred in the process of payment","Thanh Toán Không Thành Công"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Áp dụng mã ưu đãi"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn xóa sản phẩm này khỏi giỏ hàng?"
"Back","Back"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Back to Shipping Information"
"Back to Shopping Cart","Back to Shopping Cart"
"Based on your selection, you may be interested in the following items:","Với lựa chọn trên của bạn, có thể bạn cũng quan tâm các sản phẩm sau:"
"Billing Address","Billing Address"
"Billing Information","Thông tin thanh toán"
"Billing Information - %s","Billing Information - %s"
"Cancel Coupon","Hủy bỏ mã ưu đãi"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
