"Add","Add"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Thêm quà tặng"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Thêm quà tặng"
"Add gift options.","Thêm quà tặng."
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Are you sure?"
"Cancel","Cancel"
"Do you have any gift items in your order?","Bạn có kèm theo quà tặng cho đơn hàng này?"
"Edit","Edit"
"From","From"
"Gift Message","Gift Message"
"Gift Message API","Gift Message API"
"Gift Options","Tùy chọn quà tặng"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Quà tặng cho đơn hàng này."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Message"
"No","No"
"OK","OK"
"Save Gift Message","Save Gift Message"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","To"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Yes"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Bạn có thể để trống nội dung diễn giải nếu không muốn gởi lời nhắn cho đơn hàng này."
