"Comments","Bình luận"
"Posted by:","Bài viết của:"
"Posted in:","Đăng trong:"
"Post Comments","Bình luận"
"Submit Comment","Viết bình luận"
"Created at","Ngày viết"
"Categories","Nhóm chủ đề"
"Update at","Chỉnh sửa"
"Read More","Xem thêm"
"Latest Post","Có thể bạn quan tâm"
"Top Viewed Post","Bài Viết Xem Nhiều Nhất"
"Newest Post","Bài Viết Mới Nhất"
"viewed","lượt xem"
"No Posts in this Category.","Không có bài viết nào trong chủ đề này."
"Your comment has been submitted and is awaiting approval.","Nhận xét của bạn đã được gửi và đang chờ phê duyệt."
