"Flash Flipping Book","Flash Flipping Book"
"Flash Flipping Books","Xem trích đoạn"
"License","License"
"Your license have been saved","Your license have been saved"
"Your license code is invalid","Your license code is invalid"
"Manage Categories","Manage Categories"
"Add New Category","Add New Category"
"New Category","Nhóm mới"
"Edit Category","Sửa nhóm"
"This category does not exist","This category does not exist"
"Category was successfully saved","Category was successfully saved"
"Category was successfully deleted","Category was successfully deleted"
"Unable to find a Category to delete","Unable to find a Category to delete"
"Category ID","ID"
"Category Name","Tên nhóm"
"Save Category","Lưu nhóm"
"Delete Category","Xóa nhóm"
"Save and continue edit","Lưu và Sửa tiếp"
"Edit Category '%s'","Sửa nhóm '%s'"
"Category Details","Chi tiết nhóm"
"Category Status","Trạng thái nhóm"
"Category Description","Mô tả nhóm"
"Manage Templates","Manage Templates"
"Add New Template","Add New Template"
"New Template","New Template"
"Edit Template","Edit Template"
"Template was successfully deleted","Template was successfully deleted"
"This template does not exist","This template does not exist"
"Unable to find a Template to delete","Unable to find a Template to delete"
"Template ID","Template ID"
"Template Name","Template Name"
"Template Type","Template Type"
"Template Status","Template Status"
"Save Template","Lưu Mẫu giao diện"
"Delete Template","Xóa Mẫu giao diện"
"New Template","Mẫu giao diện mới"
"Edit Template '%s'","Sửa Mẫu giao diện '%s'"
"Template Details","Chi tiết Mẫu giao diện"
"Backgroud Color","Màu nền"
"Elements color","Màu các thành phần"
"Additional color","Màu bổ sung"
"Manage Resolutions","Manage Resolutions"
"Add New Resolution","Add New Resolution"
"New Resolution","Độ phân giải mới"
"Edit Resolution","Sửa Độ phân giải"
"Edit Resolution '%s'","Sửa Độ phân giải '%s'"
"This resolution does not exist","This resolution does not exist"
"Resolution was successfully saved","Resolution was successfully saved"
"Resolution was successfully deleted","Resolution was successfully deleted"
"Unable to find a Resolution to delete","Unable to find a Resolution to delete"
"Resolution Details","Chi tiết Độ phân giải"
"Resolution Width","Resolution Width"
"Resolution Height","Resolution Height"
"Resolution ID","ID"
"Resolution Name","Resolution Name"
"Save Resolution","Lưu Độ phân giải"
"Delete Resolution","Xóa Độ phân giải"
"Manage Books","Manage Books"
"Add New Book","Add New Book"
"New Book","Sách mới"
"Edit Book","Sửa sách"
"Edit Book '%s'","Sửa sách '%s'"
"Save Book","Lưu sách"
"Delete Book","Xóa sách"
"This book does not exist","This book does not exist"
"Book was successfully saved","Book was successfully saved"
"Book was successfully deleted","Book was successfully deleted"
"Unable to find a Book to delete","Unable to find a Book to delete"
"Book information","Thông tin sách"
"Book Details","Chi tiết sách"
"Book ID","ID"
"Book Title","Tựa đề sách"
"Book Name","Book Name"
"Book Category","Book Category"
"Book Template","Book Template"
"Book Resolution","Book Resolution"
"Book Position","Vị trí sách"
"Book Status","Trạng thái sách"
"Use subfolder for the book's files","Use subfolder for the book's files"
"Subfolder name","Tên thư mục con"
"Please, use only latin letters and numbers","Please, u/e only latin letters and numbers"
"Show book mode","Kiểu hiển thị sách"
"Popup window","Cửa sổ popup"
"Direct link","Link trực tiếp"
"Enable fullscreen button","Kích hoạt nút Fullscreen"
"Enable print button","Kích hoạt nút In"
"Show 1 or 2 pages","Hiện 1 hoặc 2 trang"
"Hide shadow when flipping first/last page","Ẩn bóng khi lật đến trang đầu/cuối"
"Book description","Mô tả sách"
"This text will be shown under the book's title in the list of books","This text will be shown under the book's title in the list of books"
"This text will be shown at the beginning of the book when you open it","Văn bản này sẽ được hiện ở phần đầu của sách khi bạn mở nó. <i style='color:red; font-weight: bold;'>Lưu ý: Chỉ sử dụng tính năng của Trình soạn thảo. Đừng sử dụng HTML-tags khác. Cẩn thận khi chèn văn bản từ các nguồn khác (Ví dụ từ MS Word).</i>"
"PDF options","PDF options"
"Enable PDF","Enable PDF"
"PDF file","PDF file"
"Book thumbnail","Hình thumnail sách"
"Select gif, jpg or png files","Chọn file gif, jpg hoặc png"
"Sound options","Tùy chọn âm thanh"
"Enable sound","Kích hoạt âm thanh"
"Background sound","Âm thanh nền"
"Flip sound","Âm thanh lật trang"
"Select mp3 or wav files","Chọn file mp3 hoặc wav"
"Frontpage options","Frontpage options"
"Frontpage cover","Frontpage cover"
"Author image","Author image"
"Author email","Author email"
"Author details","Author details"
"Book logo","Book logo"
"It should be 180 x 40 pixels","It should be 180 x 40 pixels"
"Manage Pages","Manage Pages"
"This page does not exist","Trang này không tồn tại"
"Add New Page","Add New Page"
"New Page","Trang mới"
"Edit Page","Sửa trang"
"Edit Page '%s'","Sửa trang '%s'"
"Page was successfully saved","Page was successfully saved"
"Page was successfully deleted","Page was successfully deleted"
"Unable to find a Page to delete","Unable to find a Page to delete"
"Page ID","ID"
"Page Name","Page Name"
"Page Title","Tựa đề trang"
"Page Content","Page Content"
"Image","Hình ảnh"
"Video","Video"
"Page Book","Page Book"
"Save Page","Lưu trang"
"Delete Page","Xóa trang"
"Page information","Thông tin trang"
"Page Details","Chi tiết trang"
"Page Status","Trạng thái trang"
"Page Position","Vị trí trang"
"Page Sound","Âm thanh trang"
"Page image","Hình ảnh trang"
"Zoom page image","Hình phóng to trang"
"Page video","Video trang"
"Select flv files","Chọn file FLV"
"Video vertical align","Canh hàng video theo chiều dọc"
"Video horizontal align","Canh hàng video theo chiều ngang"
"Video width","Chiều rộng Video"
"Video height","Chiều cao Video"
"Top","Trên đầu"
"Middle","Giữa"
"Bottom","Dưới cuối"
"Left","Trái"
"Center","Giữa"
"Right","Phải"
"Page text","Trang văn bản"
"Attention: Use only editor features.","Lưu ý: Chỉ sử dụng tính năng của Trình soạn thảo. Đừng sử dụng HTML-tags khác. Cẩn thận khi chèn văn bản từ các nguồn khác (ví dụ từ MS Word)."
"Please select an image file.","Please select an image file."
"Please select a video file.","Please select a video file."
"Please enter a page text.","Please enter a page text."
"Please select a page content.","Please select a page content."
"Attach","Gắn vào"
"Attached","Đã gắn"
"Detach","Gỡ ra"
"Attach/Detach","Gắn vào/Gỡ ra"
"Attach/Detach books to a product","Attach/Detach books to a product"
"Please select book(s)","Please select book(s)"
"Total of %d record(s) were attached","Total of %d record(s) were attached"
"Total of %d record(s) were detached","Total of %d record(s) were detached"
"Selected book was attached","Selected book was attached"
"Selected book was detached","Selected book was detached"
"Contents","Nội dung"
"Page titles","Tiêu đề trang"
"Help","Trợ giúp"
"Help Page","Trang trợ giúp"
"Thumbnails","Duyệt trang"
"Mail to","Mail to"
"Print","In"
"View the book","View the book"
"Next page","Trang kế"
"Previous page","Trang trước"
"Start auto flipping","Lật trang tự động"
"Stop auto flipping","Ngừng lật trang tự động"
"Go to page","Go to page"
"On/off sound","Bật/tắt âm thanh"
"Sound volume","Âm lượng"
"Flipping speed","Tốc độ lật trang"
"First page","Trang đầu"
"Last page","Trang cuối"
"Speed","Speed"
"Volume","Volume"
"Print options","Tùy chọn in"
"From","From"
"To","To"
"All","All"
"Ok","Đồng ý"
"Cancel","Hủy bỏ"
"Open","Open"
"Save","Save"
"Zoom in","Phóng to"
"View PDF","Xem PDF"
"PDF file","PDF file"
"Page number","Page number"
"Turning page","Tinh chỉnh trang"
"- use these buttons or click on the page corner","- sử dụng những nút này, hoặc click lên góc trang"
"Flip pages automatically","Lật trang tự động"
"- use this button to begin automatic flipping","- sử dụng nút này để lật trang tự động"
"- use this button to stop automatic flipping","- sử dụng nút này để ngừng lật trang tự động"
"- use this scroll bar to change speed of flipping.","- sử dụng thanh cuộn này để thay đổi tốc độ lật trang. Cụ thể: 100% tương ứng với 1 giây, mức thấp nhất 1% tương ứng với 100 giây."
"Go to page","Nhảy đến trang"
"- input number and press the arrow","- nhập vào số trang và nhấn nút mũi tên"
"- use these buttons to go to first or last page.","- sử dụng những nút này để đi đến trang đầu & trang cuối."
"Use menu at the top of window to skip to articles.","Sử dụng menu ở đầu trang để xem trang tùy ý."
"Sound","Âm thanh"
"- use this button to turn on/off sound.","- sử dụng nút này để bật/tắt âm thanh."
"- use this scroll bar to change sound volume.","- sử dụng thanh cuộn này để thay đổi âm lượng."
"Print","In"
"- press this button and follow instructions.","- nhấn nút này và làm theo chỉ dẫn để in."
"Zooming","Phóng to"
"- use this button to zoom in.","- sử dụng nút này để phóng to."
"- use this button to view page thumbnails","- sử dụng nút này để duyệt các trang"
"PDF version","Phiên bản PDF"
"- use this button to view PDF version of the book","- sử dụng nút này để xem phiên bản PDF của sách"
"Full screen","Xem toàn màn hình"
"Normal screen","Xem kích cỡ bình thường"
"- use this button to switch to full screen mode","- sử dụng nút này để xem toàn màn hình"
"Multiupload","Multiupload"
"Upload Parameters","Upload Parameters"
"Select a book for the pages","Select a book for the pages"
"Input general title for pages","Input general title for pages"
"Select multiupload type","Select multiupload type"
"Upload Package File","Upload Package File"
"Select zip files","Select zip files"
"Install from Directory","Install from Directory"
