"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
AUS,*,,,,0.0000,500.0000,648560.0000,"Express Saver"
AUS,*,,,,8001.0000,8500.0000,2676080.0000,"Express Saver"
AUS,*,,,,11501.0000,12000.0000,2249280.0000,"Normal Shipping"
AUS,*,,,,3501.0000,4000.0000,913440.0000,"Normal Shipping"
AUS,*,,,,7501.0000,8000.0000,2549360.0000,"Express Saver"
AUS,*,,,,11001.0000,11500.0000,2165790.0000,"Normal Shipping"
AUS,*,,,,3001.0000,3500.0000,829950.0000,"Normal Shipping"
AUS,*,,,,15001.0000,15500.0000,4450160.0000,"Express Saver"
AUS,*,,,,7001.0000,7500.0000,2422640.0000,"Express Saver"
AUS,*,,,,10501.0000,11000.0000,2082300.0000,"Normal Shipping"
AUS,*,,,,2501.0000,3000.0000,746460.0000,"Normal Shipping"
AUS,*,,,,14501.0000,15000.0000,4323440.0000,"Express Saver"
AUS,*,,,,6501.0000,7000.0000,2295920.0000,"Express Saver"
AUS,*,,,,10001.0000,10500.0000,1998810.0000,"Normal Shipping"
AUS,*,,,,2001.0000,2500.0000,662970.0000,"Normal Shipping"
AUS,*,,,,14001.0000,14500.0000,4196720.0000,"Express Saver"
AUS,*,,,,6001.0000,6500.0000,2169200.0000,"Express Saver"
AUS,*,,,,1501.0000,2000.0000,579480.0000,"Normal Shipping"
AUS,*,,,,9501.0000,10000.0000,1915320.0000,"Normal Shipping"
AUS,*,,,,13501.0000,14000.0000,4070000.0000,"Express Saver"
AUS,*,,,,5501.0000,6000.0000,2042480.0000,"Express Saver"
AUS,*,,,,1001.0000,1500.0000,495990.0000,"Normal Shipping"
AUS,*,,,,9001.0000,9500.0000,1831830.0000,"Normal Shipping"
AUS,*,,,,13001.0000,13500.0000,3943280.0000,"Express Saver"
AUS,*,,,,5001.0000,5500.0000,1915760.0000,"Express Saver"
AUS,*,,,,501.0000,1000.0000,412500.0000,"Normal Shipping"
AUS,*,,,,8501.0000,9000.0000,1748340.0000,"Normal Shipping"
AUS,*,,,,12501.0000,13000.0000,3816560.0000,"Express Saver"
AUS,*,,,,4501.0000,5000.0000,1789040.0000,"Express Saver"
